Ministry,Year,PositionTitle,PositionClass,BaseSalary,CashBenefits,NonCashBenefits,Severance
Agriculture and Forestry,2018,"Dir, Economics&Trade Section",Senior Manager Zone 1,NULL,NULL,NULL,220000
Education,2018,Assistant Deputy Minister,Assistant Deputy Minister,NULL,NULL,NULL,NULL
Advanced Education,2017,"Manager, Financial Operations",Manager Zone 2,107152.5,4121.25,28541.06,0
Advanced Education,2017,ED Strategic Policy & Planning,Executive Manager 1,137708.74,0,34946.66,0
Advanced Education,2017,"Dir.,Strategic Int Pol Branch",Senior Manager Zone 2,122799.1,0,28099.67,0
Advanced Education,2017,"Dir, AIT Industry Prog & Stand",Senior Manager Zone 2,133317.86,0,33836.12,0
Advanced Education,2017,"Manager, IPS",Manager Zone 2,107152.5,0,28192.65,0
Advanced Education,2017,"Manager, IPS",Manager Zone 2,107152.5,0,25550.79,0
Advanced Education,2017,"Director, Strategy & Planning",Senior Manager Zone 1,115724.7,0,30906.65,0
Advanced Education,2017,Sr Mgr ATOMS Shared Services,Senior Manager Zone 1,118938.56,0,31226.37,0
Advanced Education,2017,"Mgr, Reasearch and Analysis",Manager Zone 2,107152.5,0,29330.67,0
Advanced Education,2017,Associate Regional Director,Senior Manager Zone 1,118938.56,0,28788.35,0
Advanced Education,2017,"Exec Dir., ASA Policy & Stand",Executive Manager 1,152963.98,0,36338.32,0
Advanced Education,2017,"Manager, IPS",Manager Zone 2,107152.5,0,29100.77,0
Advanced Education,2017,"Dir, Aboriginal & Cmty Connect",Senior Manager Zone 1,110641.96,0,24898.59,0
Advanced Education,2017,"Director, ACES",Senior Manager Zone 2,116555.04,0,29718.81,0
Advanced Education,2017,Executive Director Student Aid,Executive Manager 1,139920.82,0,34597.57,0
Advanced Education,2017,"Sr. Dir.,StrategicPolicy",Senior Manager Zone 2,133317.86,0,34770.3,0
Advanced Education,2017,Dir Financial and Admin Oper,Senior Manager Zone 2,133317.86,5127.61,34089.87,0
Advanced Education,2017,"Mgr, Contract & Grant Mgmt",Manager Zone 2,107152.5,8242.5,24835.86,0
Advanced Education,2017,Dir. Capital Plan & Grant Mgmt,Senior Manager Zone 2,133317.86,0,33585.74,0
Advanced Education,2017,Cross Ministry & Intergov Stra,Senior Manager Zone 2,133317.86,200,33388.92,0
Advanced Education,2017,"Dir, Strat Research & Analysis",Senior Manager Zone 1,115733.8,0,30762.86,0
Advanced Education,2017,Dir. Policy & Engagement,Senior Manager Zone 2,130055.38,0,31673.02,0
Advanced Education,2017,"Sr Mgr, Business Integration",Senior Manager Zone 1,117157.88,0,31157.07,0
Advanced Education,2017,"Dir, Policy,Research & Support",Senior Manager Zone 2,133317.86,0,34140.06,0
Advanced Education,2017,Mgr Market & Client Connection,Manager Zone 2,107152.5,0,29330.67,0
Advanced Education,2017,Director Post-Sec Programs,Senior Manager Zone 2,109580.97,0,28079.64,0
Advanced Education,2017,"Manager, AIT Client Services",Manager Zone 2,108636.15,0,27821.99,0
Advanced Education,2017,Director-Client Services,Senior Manager Zone 2,133317.86,0,31431.12,0
Advanced Education,2017,"Manager, CAQC Secretariat",Manager Zone 2,107152.5,13648.44,25307.44,0
Advanced Education,2017,"Exec Dir, External Relations",Executive Manager 1,137719.14,0,33654.75,0
Advanced Education,2017,"Dir, Operational Data & Info",Senior Manager Zone 1,113829.82,0,29264.54,0
Advanced Education,2017,Sr Mgr Industry Prog & Stand,Senior Manager Zone 1,118938.56,0,31497.29,0
Advanced Education,2017,Senior Financial Officer,Executive Manager 1,164060.78,0,41218.47,0
Advanced Education,2017,"Exec Director, Human Resources",Executive Manager 1,164060.78,12620.06,39924.72,0
Advanced Education,2017,"Director, Strategy & Planning",Senior Manager Zone 2,133317.86,0,30360.18,0
Advanced Education,2017,"Senior Manager, IPS",Senior Manager Zone 1,118938.56,0,31497.29,0
Advanced Education,2017,Chief of Staff,Senior Manager Zone 2,108136.34,0,29512.42,0
Advanced Education,2017,"Mgr., Stud Aid Pol & Prog Dev",Manager Zone 2,107152.5,0,26188.39,0
Advanced Education,2017,"Director, Student Services",Senior Manager Zone 2,133317.86,0,6803.34,0
Advanced Education,2017,A.D.M.  ALCP,Assistant Deputy Minister,200224.18,0,49712.93,0
Advanced Education,2017,Director Financial Planning,Senior Manager Zone 2,129270.44,0,33900.08,0
Advanced Education,2017,"Sr Manager, Learner Pathways",Senior Manager Zone 1,118938.56,0,30203.53,0
Advanced Education,2017,"Mgr,Apperenticeship Policy Dev",Manager Zone 2,107152.5,0,28776.35,0
Advanced Education,2017,Mgr Post-Secondary Programs,Manager Zone 2,107152.5,0,23787.87,0
Advanced Education,2017,"Dir.,Strategic Planning & Eval",Senior Manager Zone 2,123677.75,0,31415.18,0
Advanced Education,2017,Minister's Chief of Staff,Ministerial EA,119540.46,17141.18,9590.43,0
Advanced Education,2017,"Senior Manager, IPS",Senior Manager Zone 1,118938.56,13723.68,27717.41,0
Advanced Education,2017,"Dir, Legislation & Governance",Senior Manager Zone 1,118938.56,13923.68,31497.3,0
Advanced Education,2017,"Director,Sys Design & Operatio",Senior Manager Zone 2,124288.58,0,31441.44,0
Advanced Education,2017,"Dir., Division Operations",Senior Manager Zone 1,118938.56,0,31497.29,0
Advanced Education,2017,"Dir, Private Career Colleges",Senior Manager Zone 2,133317.86,13319.02,34770.28,0
Advanced Education,2017,"Director, CAQC Secretariat",Senior Manager Zone 1,118938.56,18755.7,30148.54,0
Advanced Education,2017,"Exec Dir, Operations",Executive Manager 1,139293.96,0,35868.41,0
Advanced Education,2017,"Manager, AIT Client Services",Manager Zone 2,107152.5,0,26407.49,0
Advanced Education,2017,Dir. Apprenticeship TT,Senior Manager Zone 1,117175.38,150,29500.16,0
Advanced Education,2017,Manager Policy Development,Manager Zone 2,107152.5,0,29181.41,0
Advanced Education,2017,"ADM, Strategic&CorpSvcs",Assistant Deputy Minister,196854.58,0,48302.94,0
Advanced Education,2017,"Director, Public Awareness",Senior Manager Zone 1,122506.8,0,31598.79,0
Advanced Education,2017,"Director, Foundational Learnin",Senior Manager Zone 1,115724.7,0,29618.7,0
Advanced Education,2017,"Manager, Post-secondary Prgms",Manager Zone 2,107152.5,34507.08,28448.78,0
Advanced Education,2017,"Dir, Strategy & Coordination",Senior Manager Zone 2,109001.1,0,29422.93,0
Advanced Education,2017,"Manager, Legislative Planning",Manager Zone 2,107152.5,0,25550.79,0
Advanced Education,2017,"Mgr,Modernization&Development",Manager Zone 2,107152.5,0,24257.03,0
Advanced Education,2017,Associate Regional Director,Senior Manager Zone 1,118938.56,0,30741.47,0
Advanced Education,2017,"ED, Foundational Learning",Executive Manager 1,142585.56,0,34028.21,0
Advanced Education,2017,"Manager, Post-secondary Prgms",Manager Zone 2,108636.15,300,28703.95,0
Advanced Education,2017,"Manager, Agency Governance",Manager Zone 2,107152.5,0,24257.03,0
Advanced Education,2017,Executive Director and CIO,Executive Manager 1,137558.65,0,31698.87,0
Advanced Education,2017,"DM, Advanced Education",Deputy Minister,285877.28,0,68552.86,0
Advanced Education,2017,"ED,AIT Op & Client Connections",Executive Manager 1,143983.32,0,36100.28,0
Advanced Education,2017,"Senior Manager, Legislative Pl",Senior Manager Zone 1,114589.02,0,31201.97,0
Advanced Education,2017,"Mgr, Integrated Services Deliv",Manager Zone 2,107152.5,0,27281.09,0
Advanced Education,2017,"Manager, AIT Client Services",Manager Zone 2,108570.21,0,25571.79,0
Advanced Education,2017,"Dir., Interntl & Intergovt Rel",Senior Manager Zone 2,133317.86,0,34140.06,0
Advanced Education,2017,"Director, Marketing & Training",Senior Manager Zone 2,132164.91,0,31818.62,0
Advanced Education,2017,"Dir, Portfolio Mgmt, Acct&Ops",Senior Manager Zone 2,119196.22,0,28285.9,0
Advanced Education,2017,"Manager, Policy Innovation",Manager Zone 2,107152.5,0,29330.67,0
